hex,bboxes,mask,cls,thermal
00000058,False,True,1.0,False
00000059,False,True,1.0,False
0000005a,False,True,1.0,False
0000005b,False,True,1.0,False
0000005c,False,True,1.0,False
0000005d,False,True,1.0,False
0000005e,False,True,1.0,False
0000005f,False,True,1.0,False
00000060,False,True,1.0,False
00000061,False,True,1.0,False
00000062,False,True,1.0,False
00000063,False,True,1.0,False
00000064,False,True,1.0,False
00000065,False,True,1.0,False
00000066,False,True,1.0,False
00000067,False,True,1.0,False
00000068,False,True,1.0,False
00000069,False,True,1.0,False
0000006a,False,True,1.0,False
0000006b,False,True,1.0,False
0000006c,False,True,1.0,False
0000006d,False,True,1.0,False
0000006e,False,True,1.0,False
0000006f,False,True,1.0,False
00000070,False,True,1.0,False
00000071,False,True,1.0,False
00000072,False,True,1.0,False
00000073,False,True,1.0,False
00000074,False,True,1.0,False
00000075,False,True,1.0,False
00000076,False,True,1.0,False
00000077,False,True,1.0,False
00000078,False,True,1.0,False
00000079,False,True,1.0,False
0000007a,False,True,1.0,False
0000007b,False,True,1.0,False
0000007c,False,True,1.0,False
0000007d,False,True,1.0,False
0000007e,False,True,1.0,False
0000007f,False,True,1.0,False
00000080,False,True,1.0,False
00000081,False,True,1.0,False
00000082,False,True,1.0,False
00000083,False,True,1.0,False
00000084,False,True,1.0,False
00000085,False,True,1.0,False
00000086,False,True,1.0,False
00000087,False,True,1.0,False
00000088,False,True,1.0,False
00000089,False,True,1.0,False
0000008a,False,True,1.0,False
0000008b,False,True,1.0,False
0000008c,False,True,1.0,False
0000008d,False,True,1.0,False
0000008e,False,True,1.0,False
0000008f,False,True,1.0,False
00000090,False,True,1.0,False
00000091,False,True,1.0,False
00000092,False,True,1.0,False
00000093,False,True,1.0,False
00000094,False,True,1.0,False
00000095,False,True,1.0,False
00000096,False,True,1.0,False
00000097,False,True,1.0,False
00000098,False,True,1.0,False
00000099,False,True,1.0,False
0000009a,False,True,1.0,False
0000009b,False,True,1.0,False
0000009c,False,True,1.0,False
0000009d,False,True,1.0,False
0000009e,False,True,1.0,False
0000009f,False,True,1.0,False
000000a0,False,True,1.0,False
000000a1,False,True,1.0,False
000000a2,False,True,1.0,False
000000a3,False,True,1.0,False
000000a4,False,True,1.0,False
000000a5,False,True,1.0,False
000000a6,False,True,1.0,False
000000a7,False,True,1.0,False
000000a8,False,True,1.0,False
000000a9,False,True,1.0,False
000000aa,False,True,1.0,False
000000ab,False,True,1.0,False
000000ac,False,True,1.0,False
000000ad,False,True,1.0,False
000000ae,False,True,1.0,False
000000af,False,True,1.0,False
000000b0,False,True,1.0,False
000000b1,False,True,1.0,False
000000b2,False,True,1.0,False
000000b3,False,True,1.0,False
000000b4,False,True,1.0,False
000000b5,False,True,1.0,False
000000b6,False,True,1.0,False
000000b7,False,True,1.0,False
000000b8,False,True,1.0,False
000000b9,False,True,1.0,False
000000ba,False,True,1.0,False
000000bb,False,True,1.0,False
000000bc,False,True,1.0,False
000000bd,False,True,1.0,False
000000be,False,True,1.0,False
000000bf,False,True,1.0,False
000000c0,False,True,1.0,False
000000c1,False,True,1.0,False
000000c2,False,True,1.0,False
000000c3,False,True,1.0,False
000000c4,False,True,1.0,False
000000c5,False,True,1.0,False
000000c6,False,True,1.0,False
000000c7,False,True,1.0,False
000000c8,False,True,1.0,False
000000c9,False,True,1.0,False
000000ca,False,True,1.0,False
000000cb,False,True,1.0,False
000000cc,False,True,1.0,False
000000cd,False,True,1.0,False
000000ce,False,True,1.0,False
000000cf,False,True,1.0,False
000000d0,False,True,1.0,False
000000d1,False,True,1.0,False
000000d2,False,True,1.0,False
000000d3,False,True,1.0,False
000000d4,False,True,1.0,False
000000d5,False,True,1.0,False
000000d6,False,True,1.0,False
000000d7,False,True,1.0,False
000000d8,False,True,1.0,False
000000d9,False,True,1.0,False
000000da,False,True,1.0,False
000000db,False,True,1.0,False
000000dc,False,True,1.0,False
000000dd,False,True,1.0,False
000000de,False,True,1.0,False
000000df,False,True,1.0,False
000000e0,False,True,1.0,False
000000e1,False,True,1.0,False
000000e2,False,True,1.0,False
000000e3,False,True,1.0,False
000000e4,False,True,1.0,False
000000e5,False,True,1.0,False
000000e6,False,True,1.0,False
000000e7,False,True,1.0,False
000000e8,False,True,1.0,False
000000e9,False,True,1.0,False
000000ea,False,True,1.0,False
000000eb,False,True,1.0,False
000000ec,False,True,1.0,False
000000ed,False,True,1.0,False
000000ee,False,True,1.0,False
000000ef,False,True,1.0,False
000000f0,False,True,1.0,False
000000f1,False,True,1.0,False
000000f2,False,True,1.0,False
000000f3,False,True,1.0,False
000000f4,False,True,1.0,False
000000f5,False,True,1.0,False
000000f6,False,True,1.0,False
000000f7,False,True,1.0,False
000000f8,False,True,1.0,False
000000f9,False,True,1.0,False
000000fa,False,True,1.0,False
000000fb,False,True,1.0,False
000000fc,False,True,1.0,False
000000fd,False,True,1.0,False
000000fe,False,True,1.0,False
000000ff,False,True,1.0,False
00000100,False,True,1.0,False
00000101,False,True,1.0,False
00000102,False,True,1.0,False
00000103,False,True,1.0,False
00000104,False,True,1.0,False
00000105,False,True,1.0,False
00000106,False,True,1.0,False
00000107,False,True,1.0,False
00000108,False,True,1.0,False
00000109,False,True,1.0,False
0000010a,False,True,1.0,False
0000010b,False,True,1.0,False
0000010c,False,True,1.0,False
0000010d,False,True,1.0,False
0000010e,False,True,1.0,False
0000010f,False,True,1.0,False
00000110,False,True,1.0,False
00000111,False,True,1.0,False
00000112,False,True,1.0,False
00000113,False,True,1.0,False
00000114,False,True,1.0,False
00000115,False,True,1.0,False
00000116,False,True,1.0,False
00000117,False,True,1.0,False
00000118,False,True,1.0,False
00000119,False,True,1.0,False
0000011a,False,True,1.0,False
0000011b,False,True,1.0,False
0000011c,False,True,1.0,False
0000011d,False,True,1.0,False
0000011e,False,True,1.0,False
0000011f,False,True,1.0,False
00000120,False,True,1.0,False
00000121,False,True,1.0,False
00000122,False,True,1.0,False
00000123,False,True,1.0,False
00000124,False,True,1.0,False
00000125,False,True,1.0,False
00000126,False,True,1.0,False
00000127,False,True,1.0,False
00000128,False,True,1.0,False
00000129,False,True,1.0,False
0000012a,False,True,1.0,False
0000012b,False,True,1.0,False
0000012c,False,True,1.0,False
0000012d,False,True,1.0,False
0000012e,False,True,1.0,False
0000012f,False,True,1.0,False
00000130,False,True,1.0,False
00000131,False,True,1.0,False
00000132,False,True,1.0,False
00000133,False,True,1.0,False
00000134,False,True,1.0,False
00000135,False,True,1.0,False
00000136,False,True,1.0,False
00000137,False,True,1.0,False
00000138,False,True,1.0,False
00000139,False,True,1.0,False
0000013a,False,True,1.0,False
0000013b,False,True,1.0,False
0000013c,False,True,1.0,False
0000013d,False,True,1.0,False
0000013e,False,True,1.0,False
0000013f,False,True,1.0,False
00000140,False,True,1.0,False
00000141,False,True,1.0,False
00000142,False,True,1.0,False
00000143,False,True,1.0,False
00000144,False,True,1.0,False
00000145,False,True,1.0,False
00000146,False,True,1.0,False
00000147,False,True,1.0,False
00000148,False,True,1.0,False
00000149,False,True,1.0,False
0000014a,False,True,1.0,False
0000014b,False,True,1.0,False
0000014c,False,True,1.0,False
0000014d,False,True,1.0,False
0000014e,False,True,1.0,False
0000014f,False,True,1.0,False
00000150,False,True,1.0,False
00000151,False,True,1.0,False
00000152,False,True,1.0,False
00000153,False,True,1.0,False
00000154,False,True,1.0,False
00000155,False,True,1.0,False
00000156,False,True,1.0,False
00000157,False,True,1.0,False
00000158,False,True,1.0,False
00000159,False,True,1.0,False
0000015a,False,True,1.0,False
0000015b,False,True,1.0,False
0000015c,False,True,1.0,False
0000015d,False,True,1.0,False
0000015e,False,True,1.0,False
0000015f,False,True,1.0,False
00000160,False,True,1.0,False
00000161,False,True,1.0,False
00000162,False,True,1.0,False
00000163,False,True,1.0,False
00000164,False,True,1.0,False
00000165,False,True,1.0,False
00000166,False,True,1.0,False
00000167,False,True,1.0,False
00000168,False,True,1.0,False
00000169,False,True,1.0,False
0000016a,False,True,1.0,False
0000016b,False,True,1.0,False
0000016c,False,True,1.0,False
0000016d,False,True,1.0,False
0000016e,False,True,1.0,False
0000016f,False,True,1.0,False
00000170,False,True,1.0,False
00000171,False,True,1.0,False
00000172,False,True,1.0,False
00000173,False,True,1.0,False
00000174,False,True,1.0,False
00000175,False,True,1.0,False
00000176,False,True,1.0,False
00000177,False,True,1.0,False
00000178,False,True,1.0,False
00000179,False,True,1.0,False
0000017a,False,True,1.0,False
0000017b,False,True,1.0,False
0000017c,False,True,1.0,False
0000017d,False,True,1.0,False
0000017e,False,True,1.0,False
0000017f,False,True,1.0,False
00000180,False,True,1.0,False
00000181,False,True,1.0,False
00000182,False,True,1.0,False
00000183,False,True,1.0,False
00000184,False,True,1.0,False
00000185,False,True,1.0,False
00000186,False,True,1.0,False
00000187,False,True,1.0,False
00000188,False,True,1.0,False
00000189,False,True,1.0,False
0000018a,False,True,1.0,False
0000018b,False,True,1.0,False
0000018c,False,True,1.0,False
0000018d,False,True,1.0,False
0000018e,False,True,1.0,False
0000018f,False,True,1.0,False
00000190,False,True,1.0,False
00000191,False,True,1.0,False
00000192,False,True,1.0,False
00000193,False,True,1.0,False
00000194,False,True,1.0,False
00000195,False,True,1.0,False
00000196,False,True,1.0,False
00000197,False,True,1.0,False
00000198,False,True,1.0,False
00000199,False,True,1.0,False
0000019a,False,True,1.0,False
0000019b,False,True,1.0,False
0000019c,False,True,1.0,False
0000019d,False,True,1.0,False
0000019e,False,True,1.0,False
0000019f,False,True,1.0,False
000001a0,False,True,1.0,False
000001a1,False,True,1.0,False
000001a2,False,True,1.0,False
000001a3,False,True,1.0,False
000001a4,False,True,1.0,False
000001a5,False,True,1.0,False
000001a6,False,True,1.0,False
000001a7,False,True,1.0,False
000001a8,False,True,1.0,False
000001a9,False,True,1.0,False
000001aa,False,True,1.0,False
000001ab,False,True,1.0,False
000001ac,False,True,1.0,False
000001ad,False,True,1.0,False
000001ae,False,True,1.0,False
000001af,False,True,1.0,False
000001b0,False,True,1.0,False
000001b1,False,True,1.0,False
000001b2,False,True,1.0,False
000001b3,False,True,1.0,False
000001b4,False,True,1.0,False
000001b5,False,True,1.0,False
000001b6,False,True,1.0,False
000001b7,False,True,1.0,False
000001b8,False,True,1.0,False
000001b9,False,True,1.0,False
000001ba,False,True,1.0,False
000001bb,False,True,1.0,False
000001bc,False,True,1.0,False
000001bd,False,True,1.0,False
000001be,False,True,1.0,False
000001bf,False,True,1.0,False
000001c0,False,True,1.0,False
000001c1,False,True,1.0,False
000001c2,False,True,1.0,False
000001c3,False,True,1.0,False
000001c4,False,True,1.0,False
000001c5,False,True,1.0,False
000001c6,False,True,1.0,False
000001c7,False,True,1.0,False
000001c8,False,True,1.0,False
000001c9,False,True,1.0,False
000001ca,False,True,1.0,False
000001cb,False,True,1.0,False
000001cc,False,True,1.0,False
000001cd,False,True,1.0,False
000001ce,False,True,1.0,False
000001cf,False,True,1.0,False
000001d0,False,True,1.0,False
000001d1,False,True,1.0,False
000001d2,False,True,1.0,False
000001d3,False,True,1.0,False
000001d4,False,True,1.0,False
000001d5,False,True,1.0,False
000001d6,False,True,1.0,False
000001d7,False,True,1.0,False
000001d8,False,True,1.0,False
000001d9,False,True,1.0,False
000001da,False,True,1.0,False
000001db,False,True,1.0,False
000001dc,False,True,1.0,False
000001dd,False,True,1.0,False
000001de,False,True,1.0,False
000001df,False,True,1.0,False
000001e0,False,True,1.0,False
000001e1,False,True,1.0,False
000001e2,False,True,1.0,False
000001e3,False,True,1.0,False
000001e4,False,True,1.0,False
000001e5,False,True,1.0,False
000001e6,False,True,1.0,False
000001e7,False,True,1.0,False
000001e8,False,True,1.0,False
000001e9,False,True,1.0,False
000001ea,False,True,1.0,False
000001eb,False,True,1.0,False
000001ec,False,True,1.0,False
000001ed,False,True,1.0,False
000001ee,False,True,1.0,False
000001ef,False,True,1.0,False
000001f0,False,True,1.0,False
000001f1,False,True,1.0,False
000001f2,False,True,1.0,False
000001f3,False,True,1.0,False
000001f4,False,True,1.0,False
000001f5,False,True,1.0,False
000001f6,False,True,1.0,False
000001f7,False,True,1.0,False
000001f8,False,True,1.0,False
000001f9,False,True,1.0,False
000001fa,False,True,1.0,False
000001fb,False,True,1.0,False
000001fc,False,True,1.0,False
000001fd,False,True,1.0,False
000001fe,False,True,1.0,False
000001ff,False,True,1.0,False
00000200,False,True,1.0,False
00000201,False,True,1.0,False
00000202,False,True,1.0,False
00000203,False,True,1.0,False
00000204,False,True,1.0,False
00000205,False,True,1.0,False
00000206,False,True,1.0,False
00000207,False,True,1.0,False
00000208,False,True,1.0,False
00000209,False,True,1.0,False
0000020a,False,True,1.0,False
0000020b,False,True,1.0,False
0000020c,False,True,1.0,False
0000020d,False,True,1.0,False
0000020e,False,True,1.0,False
0000020f,False,True,1.0,False
00000210,False,True,1.0,False
00000211,False,True,1.0,False
00000212,False,True,1.0,False
00000213,False,True,1.0,False
00000214,False,True,1.0,False
00000215,False,True,1.0,False
00000216,False,True,1.0,False
00000217,False,True,1.0,False
00000218,False,True,1.0,False
00000219,False,True,1.0,False
0000021a,False,True,1.0,False
0000021b,False,True,1.0,False
0000021c,False,True,1.0,False
0000021d,False,True,1.0,False
0000021e,False,True,1.0,False
0000021f,False,True,1.0,False
00000220,False,True,1.0,False
00000221,False,True,1.0,False
00000222,False,True,1.0,False
00000223,False,True,1.0,False
00000224,False,True,1.0,False
00000225,False,True,1.0,False
00000226,False,True,1.0,False
00000227,False,True,1.0,False
00000228,False,True,1.0,False
00000229,False,True,1.0,False
0000022a,False,True,1.0,False
0000022b,False,True,1.0,False
0000022c,False,True,1.0,False
0000022d,False,True,1.0,False
0000022e,False,True,1.0,False
0000022f,False,True,1.0,False
00000230,False,True,1.0,False
00000231,False,True,1.0,False
00000232,False,True,1.0,False
00000233,False,True,1.0,False
00000234,False,True,1.0,False
00000235,False,True,1.0,False
00000236,False,True,1.0,False
00000237,False,True,1.0,False
00000238,False,True,1.0,False
00000239,False,True,1.0,False
0000023a,False,True,1.0,False
0000023b,False,True,1.0,False
0000023c,False,True,1.0,False
0000023d,False,True,1.0,False
0000023e,False,True,1.0,False
0000023f,False,True,1.0,False
00000240,False,True,1.0,False
00000241,False,True,1.0,False
00000242,False,True,1.0,False
00000243,False,True,1.0,False
00000244,False,True,1.0,False
00000245,False,True,1.0,False
00000246,False,True,1.0,False
00000247,False,True,1.0,False
00000248,False,True,1.0,False
00000249,False,True,1.0,False
0000024a,False,True,1.0,False
0000024b,False,True,1.0,False
0000024c,False,True,1.0,False
0000024d,False,True,1.0,False
0000024e,False,True,1.0,False
0000024f,False,True,1.0,False
00000250,False,True,1.0,False
00000251,False,True,1.0,False
00000252,False,True,1.0,False
00000253,False,True,1.0,False
00000254,False,True,1.0,False
00000255,False,True,1.0,False
00000256,False,True,1.0,False
00000257,False,True,1.0,False
00000258,False,True,1.0,False
00000259,False,True,1.0,False
0000025a,False,True,1.0,False
0000025b,False,True,1.0,False
0000025c,False,True,1.0,False
0000025d,False,True,1.0,False
0000025e,False,True,1.0,False
0000025f,False,True,1.0,False
00000260,False,True,1.0,False
00000261,False,True,1.0,False
00000262,False,True,1.0,False
00000263,False,True,1.0,False
00000264,False,True,1.0,False
00000265,False,True,1.0,False
00000266,False,True,1.0,False
00000267,False,True,1.0,False
00000268,False,True,1.0,False
00000269,False,True,1.0,False
0000026a,False,True,1.0,False
0000026b,False,True,1.0,False
0000026c,False,True,1.0,False
0000026d,False,True,1.0,False
0000026e,False,True,1.0,False
0000026f,False,True,1.0,False
00000270,False,True,1.0,False
00000271,False,True,1.0,False
00000272,False,True,1.0,False
00000273,False,True,1.0,False
00000274,False,True,1.0,False
00000275,False,True,1.0,False
00000276,False,True,1.0,False
00000277,False,True,1.0,False
00000278,False,True,1.0,False
00000279,False,True,1.0,False
0000027a,False,True,1.0,False
0000027b,False,True,1.0,False
0000027c,False,True,1.0,False
0000027d,False,True,1.0,False
0000027e,False,True,1.0,False
0000027f,False,True,1.0,False
00000280,False,True,1.0,False
00000281,False,True,1.0,False
00000282,False,True,1.0,False
00000283,False,True,1.0,False
00000284,False,True,1.0,False
00000285,False,True,1.0,False
00000286,False,True,1.0,False
00000287,False,True,1.0,False
00000288,False,True,1.0,False
00000289,False,True,1.0,False
0000028a,False,True,1.0,False
0000028b,False,True,1.0,False
0000028c,False,True,1.0,False
0000028d,False,True,1.0,False
0000028e,False,True,1.0,False
0000028f,False,True,1.0,False
00000290,False,True,1.0,False
00000291,False,True,1.0,False
00000292,False,True,1.0,False
00000293,False,True,1.0,False
00000294,False,True,1.0,False
00000295,False,True,1.0,False
00000296,False,True,1.0,False
00000297,False,True,1.0,False
00000298,False,True,1.0,False
00000299,False,True,1.0,False
0000029a,False,True,1.0,False
0000029b,False,True,1.0,False
0000029c,False,True,1.0,False
0000029d,False,True,1.0,False
0000029e,False,True,1.0,False
0000029f,False,True,1.0,False
000002a0,False,True,1.0,False
000002a1,False,True,1.0,False
000002a2,False,True,1.0,False
000002a3,False,True,1.0,False
000002a4,False,True,1.0,False
000002a5,False,True,1.0,False
000002a6,False,True,1.0,False
000002a7,False,True,1.0,False
000002a8,False,True,1.0,False
000002a9,False,True,1.0,False
000002aa,False,True,1.0,False
000002ab,False,True,1.0,False
000002ac,False,True,1.0,False
000002ad,False,True,1.0,False
000002ae,False,True,1.0,False
000002af,False,True,1.0,False
000002b0,False,True,1.0,False
000002b1,False,True,1.0,False
000002b2,False,True,1.0,False
000002b3,False,True,1.0,False
000002b4,False,True,1.0,False
000002b5,False,True,1.0,False
000002b6,False,True,1.0,False
000002b7,False,True,1.0,False
000002b8,False,True,1.0,False
000002b9,False,True,1.0,False
000002ba,False,True,1.0,False
000002bb,False,True,1.0,False
000002bc,False,True,1.0,False
000002bd,False,True,1.0,False
000002be,False,True,1.0,False
000002bf,False,True,1.0,False
000002c0,False,True,1.0,False
000002c1,False,True,1.0,False
000002c2,False,True,1.0,False
000002c3,False,True,1.0,False
000002c4,False,True,1.0,False
000002c5,False,True,1.0,False
000002c6,False,True,1.0,False
000002c7,False,True,1.0,False
000002c8,False,True,1.0,False
000002c9,False,True,1.0,False
000002ca,False,True,1.0,False
000002cb,False,True,1.0,False
000002cc,False,True,1.0,False
000002cd,False,True,1.0,False
000002ce,False,True,1.0,False
000002cf,False,True,1.0,False
000002d0,False,True,1.0,False
000002d1,False,True,1.0,False
000002d2,False,True,1.0,False
000002d3,False,True,1.0,False
000002d4,False,True,1.0,False
000002d5,False,True,1.0,False
000002d6,False,True,1.0,False
000002d7,False,True,1.0,False
000002d8,False,True,1.0,False
000002d9,False,True,1.0,False
000002da,False,True,1.0,False
000002db,False,True,1.0,False
000002dc,False,True,1.0,False
000002dd,False,True,1.0,False
000002de,False,True,1.0,False
000002df,False,True,1.0,False
000002e0,False,True,1.0,False
000002e1,False,True,1.0,False
000002e2,False,True,1.0,False
000002e3,False,True,1.0,False
000002e4,False,True,1.0,False
000002e5,False,True,1.0,False
000002e6,False,True,1.0,False
000002e7,False,True,1.0,False
000002e8,False,True,1.0,False
000002e9,False,True,1.0,False
000002ea,False,True,1.0,False
000002eb,False,True,1.0,False
000002ec,False,True,1.0,False
000002ed,False,True,1.0,False
000002ee,False,True,1.0,False
000002ef,False,True,1.0,False
000002f0,False,True,1.0,False
000002f1,False,True,1.0,False
000002f2,False,True,1.0,False
000002f3,False,True,1.0,False
000002f4,False,True,1.0,False
000002f5,False,True,1.0,False
000002f6,False,True,1.0,False
000002f7,False,True,1.0,False
000002f8,False,True,1.0,False
000002f9,False,True,1.0,False
000002fa,False,True,1.0,False
000002fb,False,True,1.0,False
000002fc,False,True,1.0,False
000002fd,False,True,1.0,False
000002fe,False,True,1.0,False
000002ff,False,True,1.0,False
00000300,False,True,1.0,False
00000301,False,True,1.0,False
00000302,False,True,1.0,False
00000303,False,True,1.0,False
00000304,False,True,1.0,False
00000305,False,True,1.0,False
00000306,False,True,1.0,False
00000307,False,True,1.0,False
00000308,False,True,1.0,False
00000309,False,True,1.0,False
0000030a,False,True,1.0,False
0000030b,False,True,1.0,False
0000030c,False,True,1.0,False
0000030d,False,True,1.0,False
0000030e,False,True,1.0,False
0000030f,False,True,1.0,False
00000310,False,True,1.0,False
00000311,False,True,1.0,False
00000312,False,True,1.0,False
00000313,False,True,1.0,False
00000314,False,True,1.0,False
00000315,False,True,1.0,False
00000316,False,True,1.0,False
00000317,False,True,1.0,False
00000318,False,True,1.0,False
00000319,False,True,1.0,False
0000031a,False,True,1.0,False
0000031b,False,True,1.0,False
0000031c,False,True,1.0,False
0000031d,False,True,1.0,False
0000031e,False,True,1.0,False
0000031f,False,True,1.0,False
00000320,False,True,1.0,False
00000321,False,True,1.0,False
00000322,False,True,1.0,False
00000323,False,True,1.0,False
00000324,False,True,1.0,False
00000325,False,True,1.0,False
00000326,False,True,1.0,False
00000327,False,True,1.0,False
00000328,False,True,1.0,False
00000329,False,True,1.0,False
0000032a,False,True,1.0,False
0000032b,False,True,1.0,False
0000032c,False,True,1.0,False
0000032d,False,True,1.0,False
0000032e,False,True,1.0,False
0000032f,False,True,1.0,False
00000330,False,True,1.0,False
00000331,False,True,1.0,False
00000332,False,True,1.0,False
00000333,False,True,1.0,False
00000334,False,True,1.0,False
00000335,False,True,1.0,False
00000336,False,True,1.0,False
00000337,False,True,1.0,False
00000338,False,True,1.0,False
00000339,False,True,1.0,False
0000033a,False,True,1.0,False
0000033b,False,True,1.0,False
0000033c,False,True,1.0,False
0000033d,False,True,1.0,False
0000033e,False,True,1.0,False
0000033f,False,True,1.0,False
00000340,False,True,1.0,False
00000341,False,True,1.0,False
00000342,False,True,1.0,False
00000343,False,True,1.0,False
00000344,False,True,1.0,False
00000345,False,True,1.0,False
00000346,False,True,1.0,False
00000347,False,True,1.0,False
00000348,False,True,1.0,False
00000349,False,True,1.0,False
0000034a,False,True,1.0,False
0000034b,False,True,1.0,False
0000034c,False,True,1.0,False
0000034d,False,True,1.0,False
0000034e,False,True,1.0,False
0000034f,False,True,1.0,False
00000350,False,True,1.0,False
00000351,False,True,1.0,False
00000352,False,True,1.0,False
00000353,False,True,1.0,False
00000354,False,True,1.0,False
00000355,False,True,1.0,False
00000356,False,True,1.0,False
00000357,False,True,1.0,False
00000358,False,True,1.0,False
00000359,False,True,1.0,False
0000035a,False,True,1.0,False
0000035b,False,True,1.0,False
0000035c,False,True,1.0,False
0000035d,False,True,1.0,False
0000035e,False,True,1.0,False
0000035f,False,True,1.0,False
00000360,False,True,1.0,False
00000361,False,True,1.0,False
00000362,False,True,1.0,False
00000363,False,True,1.0,False
00000364,False,True,1.0,False
00000365,False,True,1.0,False
00000366,False,True,1.0,False
00000367,False,True,1.0,False
00000368,False,True,1.0,False
00000369,False,True,1.0,False
0000036a,False,True,1.0,False
0000036b,False,True,1.0,False
0000036c,False,True,1.0,False
0000036d,False,True,1.0,False
0000036e,False,True,1.0,False
0000036f,False,True,1.0,False
00000370,False,True,1.0,False
00000371,False,True,1.0,False
00000372,False,True,1.0,False
00000373,False,True,1.0,False
00000374,False,True,1.0,False
00000375,False,True,1.0,False
00000376,False,True,1.0,False
00000377,False,True,1.0,False
00000378,False,True,1.0,False
00000379,False,True,1.0,False
0000037a,False,True,1.0,False
0000037b,False,True,1.0,False
0000037c,False,True,1.0,False
0000037d,False,True,1.0,False
0000037e,False,True,1.0,False
0000037f,False,True,1.0,False
00000380,False,True,1.0,False
00000381,False,True,1.0,False
00000382,False,True,1.0,False
00000383,False,True,1.0,False
00000384,False,True,1.0,False
00000385,False,True,1.0,False
00000386,False,True,1.0,False
00000387,False,True,1.0,False
00000388,False,True,1.0,False
00000389,False,True,1.0,False
0000038a,False,True,1.0,False
0000038b,False,True,1.0,False
0000038c,False,True,1.0,False
0000038d,False,True,1.0,False
0000038e,False,True,1.0,False
0000038f,False,True,1.0,False
00000390,False,True,1.0,False
00000391,False,True,1.0,False
00000392,False,True,1.0,False
00000393,False,True,1.0,False
00000394,False,True,1.0,False
00000395,False,True,1.0,False
00000396,False,True,1.0,False
00000397,False,True,1.0,False
00000398,False,True,1.0,False
00000399,False,True,1.0,False
0000039a,False,True,1.0,False
0000039b,False,True,1.0,False
0000039c,False,True,1.0,False
0000039d,False,True,1.0,False
0000039e,False,True,1.0,False
0000039f,False,True,1.0,False
000003a0,False,True,1.0,False
000003a1,False,True,1.0,False
000003a2,False,True,1.0,False
000003a3,False,True,1.0,False
000003a4,False,True,1.0,False
000003a5,False,True,1.0,False
000003a6,False,True,1.0,False
000003a7,False,True,1.0,False
000003a8,False,True,1.0,False
000003a9,False,True,1.0,False
000003aa,False,True,1.0,False
000003ab,False,True,1.0,False
000003ac,False,True,1.0,False
000003ad,False,True,1.0,False
000003ae,False,True,1.0,False
000003af,False,True,1.0,False
000003b0,False,True,1.0,False
000003b1,False,True,1.0,False
000003b2,False,True,1.0,False
000003b3,False,True,1.0,False
000003b4,False,True,1.0,False
000003b5,False,True,1.0,False
000003b6,False,True,1.0,False
000003b7,False,True,1.0,False
000003b8,False,True,1.0,False
000003b9,False,True,1.0,False
000003ba,False,True,1.0,False
000003bb,False,True,1.0,False
000003bc,False,True,1.0,False
000003bd,False,True,1.0,False
000003be,False,True,1.0,False
